STT,Tên Quẻ,Thơ (Hán Việt/Nôm),Dịch Nghĩa,Lời Bàn (Commentary),Lời Khuyên Tu Tập (Advice)
11,"Quẻ Số 11 - Thượng Thượng (Thư Sinh lạc phách)","Dục thắng vô phương cước trệ lưu,\nBất như thủ cựu thả ưu du.\nTrực đãi ngưu thử giao thừa nhật,\nCử chỉ thanh vân hỷ đắc mưu.","Muốn thắng nhưng không có cách, chân bước trệch,\nChi bằng giữ nếp cũ cứ ngao du.\nĐợi đến ngày Tý Sửu giao nhau,\nBước lên mây xanh mừng thỏa chí.","Hiện tại tiến thoái lưỡng nan, càng vùng vẫy càng rối. Tốt nhất là giữ nguyên nếp cũ, an nhiên tự tại. Đợi đến ngày tháng Tý, Sửu (tháng 11, 12 âm lịch) thì vận may mới tới.","Đây là lúc tu dưỡng chữ 'Nhẫn'. Đừng nóng vội thay đổi công việc hay chỗ ở khi thời cơ chưa chín. Hãy dùng thời gian rảnh rỗi này để bồi dưỡng kiến thức, khi vận tới mới đủ sức mà bay cao."
12,"Quẻ Số 12 - Thượng Thượng (Võ Cát ngộ Sư)","Bĩ cực thái lai phúc tự sinh,\nKhu danh trục lợi nhật tân vinh.\nSi ngưu tẩu tị sơn hổ khẩu,\nTuy tuy thiếu niên khước lão thành.","Bĩ cực thái lai phúc tự sinh,\nCầu danh trục lợi ngày thêm vinh.\nTrâu ngốc chạy trốn miệng hùm dữ,\nTuy là trẻ tuổi hóa già dặn.","Vận đen đã qua, vận đỏ đang tới. Từ chỗ nguy hiểm (miệng hùm) mà thoát nạn ngoạn mục. Tuy tuổi đời có thể trẻ hoặc kinh nghiệm ít nhưng nhờ phúc đức mà xử lý mọi việc lão luyện, thành công.","Phước báu sinh ra từ sự chuyển hóa tâm thức. Khi gặp nạn không sợ hãi, giữ tâm bình thản thì tai ương tự hóa giải. Hãy biết ơn những người thầy (quý nhân) đã chỉ đường dẫn lối cho mình."
13,"Quẻ Số 13 - Trung Bình (La Thông bái Sư)","Tự tiểu sinh nhai khổ tiễn tân,\nLiên miên ưu sự uổng lao tâm.\nDữ quân mạc thuyết cầu danh lợi,\nPhổ độ quần sinh thắng vạn câm (kim).","Từ nhỏ sinh nhai khổ đủ điều,\nLiên miên lo lắng uổng lao tâm.\nKhuyên bạn đừng nói cầu danh lợi,\nCứu độ chúng sinh thắng vạn vàng.","Cuộc đời lận đận, lo toan nhiều mà chẳng thành công bao nhiêu. Quẻ này khuyên nên gác lại chuyện cầu danh lợi cá nhân. Thay vào đó hãy làm việc thiện, giúp đời thì mới cải thiện được số mệnh.","Mệnh này cần lấy 'Phụng sự' làm đầu. Đừng chăm chăm vun vén cho bản thân. Hãy tham gia các hoạt động thiện nguyện, giúp đỡ cộng đồng. Phước đức từ việc 'phổ độ quần sinh' sẽ hóa giải nghiệp nghèo khó, lận đận."
14,"Quẻ Số 14 - Trung Bình (Tử Nha khí quan)","Uyển như tiên hạc xuất phàn lung,\nThoát đắc phàn lung lộ lộ thông.\nNam bắc đông tây vô trở cách,\nNhâm quân trực thượng cửu tiêu cung.","Giống như hạc tiên thoát khỏi lồng,\nThoát được lồng rồi đường lối thông.\nNam bắc đông tây không ngăn trở,\nMặc sức bay lên chín tầng không.","Như chim hạc sổ lồng, thoát khỏi sự kìm kẹp, ràng buộc. Từ nay đường đi thênh thang, không còn bị ai cản trở. Có thể tự do phát triển theo ý muốn.","Sự tự do đích thực đến từ nội tâm không vướng bận. Khi đã thoát được hoàn cảnh gò bó, hãy trân trọng sự tự do đó để làm việc có ích, đừng buông thả quá đà. Tu tập tâm xả bỏ, không dính mắc vào quá khứ."
15,"Quẻ Số 15 - Trung Bình (Tô Tần đắc chí)","Hành nhân nhất nhật khí nan thôn,\nHốt hữu tai ương cập nhữ môn.\nNhược ngộ quý nhân tương viện trợ,\nThiên niên khô mộc hựu phùng xuân.","Người đi một ngày khí khó nuốt,\nChợt có tai ương đến cửa nhà.\nNếu gặp quý nhân ra tay giúp,\nCây khô ngàn năm lại gặp xuân.","Đang gặp chuyện bực mình, oan ức khó nuốt trôi. Lại có thêm tai bay vạ gió. Nhưng trong cái rủi có cái may, sẽ có người cứu giúp, tình thế xoay chuyển ngoạn mục như cây khô đâm chồi.","Khi gặp chuyện oan ức, hãy quán chiếu nhân quả thay vì tìm cách trả đũa. Sự nhẫn nhịn lúc này là đức tính quý báu chiêu cảm quý nhân. Hãy tin rằng thiện lương luôn có trời cao che chở."
16,"Quẻ Số 16 - Hạ Hạ (Diệp Mộng Hùng triều Đế)","Sầu mi tư lự tạm khai hoài,\nKhởi lự ô vân tiệm tiệm lai.\nTrừ khước ngạc hoa lan trịch địa,\nNguyệt minh toàn bị hắc vân già.","Mày chau lo lắng tạm mở lòng,\nNào ngờ mây đen dần dần tới.\nDẹp bỏ hoa ngạc rớt xuống đất,\nTrăng sáng bị mây đen che khuất.","Vừa mới vui vẻ một chút thì lo âu lại tới. Điềm báo không tốt, công việc bị cản trở, sự sáng suốt bị che mờ (mây che trăng). Đề phòng tiểu nhân gièm pha, ám hại.","Đây là thời điểm tâm trí dễ bị vô minh che lấp. Nên tụng kinh sám hối để tiêu trừ nghiệp chướng. Cẩn trọng lời ăn tiếng nói, không nên tin lời đường mật. Giữ tâm sáng như trăng rằm dù bên ngoài có dông bão."
17,"Quẻ Số 17 - Trung Bình (Tào Tháo thoại mai chỉ khát)","Mạc thính nhàn ngôn thuyết thị phi,\nThần hôn chỉ hảo niệm A Di.\nNhược tương cuồng thoại vi chân thục,\nHọa hoạn tai ương tự đắc tri.","Chớ nghe lời rảnh nói thị phi,\nSớm tối chỉ nên niệm A Di (Đà Phật).\nNếu đem lời ngông làm sự thật,\nHọa hoạn tai ương tự mình chuốc.","Cảnh báo về khẩu nghiệp và tin đồn thất thiệt. Có kẻ đang dùng lời ngon ngọt hoặc bịa đặt (như Tào Tháo nói về rừng mơ để lính đỡ khát) để lừa gạt. Tin theo sẽ gặp họa.","Một quẻ khuyên tu khẩu nghiệp rất rõ ràng. Tránh xa các cuộc buôn chuyện, nói xấu người khác. Dành thời gian đó niệm Phật hoặc thiền định. Dùng trí tuệ để phân biệt chánh tà, đừng tin vào những bánh vẽ hư ảo."
18,"Quẻ Số 18 - Thượng Thượng (Kim Ô trụy địa)","Kim ô tây trụy thố đông thăng,\nNhật dạ tuần hoàn lợi bất đình.\nĐộng tĩnh tăng ni giai hữu định,\nChủ nhân các hạ định tâm ninh.","Mặt trời lặn tây thỏ (trăng) mọc đông,\nNgày đêm tuần hoàn lợi không ngừng.\nĐộng tĩnh sư tăng đều có định,\nChủ nhân các hạ hãy an lòng.","Mọi việc vận hành theo quy luật tự nhiên, có nhân có quả, tuần hoàn không dứt. Dù mặt trời lặn thì mặt trăng lại lên, ánh sáng không bao giờ tắt. Tâm an thì vạn sự an.","Hiểu lẽ vô thường của cuộc đời để không quá vui khi đắc ý, không quá buồn khi thất bại. Hãy giữ tâm bình thản (Tâm định) trước sự thay đổi của thế thời. Cứ làm đúng lương tâm, trời đất tự có an bài."
19,"Quẻ Số 19 - Thượng Thượng (Tử Nghi phong Vương)","Cấp thủy than đầu phóng đĩnh quy,\nĐáo hành nhân tại hiểm trung thôi.\nNhược phùng long hổ phương vi cát,\nCầm sắt điều hòa tấu diệu khúc.","Thả thuyền về bến ở đầu thác,\nNgười đi ngược lại bị hiểm nguy.\nNếu gặp Long, Hổ mới là tốt,\nĐàn sắt hòa âm tấu khúc hay.","Sau cơn hoạn nạn, thuyền đã về bến an toàn. Thời vận rực rỡ sắp tới (gặp năm/tháng Thìn, Dần hoặc người tuổi này). Gia đạo hạnh phúc, vợ chồng hòa thuận như cầm sắt giao hòa. Công danh thăng tiến tột bậc.","Khi ở đỉnh cao danh vọng, càng cần phải khiêm cung và san sẻ. Đừng quên những lúc gian nan 'ngược dòng'. Hãy dùng sự thành công của mình để lan tỏa năng lượng tích cực và hạnh phúc đến mọi người xung quanh."
20,"Quẻ Số 20 - Trung Bình (Khương Thái Công ngộ Văn Vương)","Đương xuân cửu vũ hỷ khai tình,\nNgọc thỏ kim ô tiệm tiệm minh.\nCựu sự dĩ tiêu tân sự toại,\nKhán khan nhất khiêu nhập Bồng Doanh.","Đương xuân mưa mãi mừng tạnh ráo,\nThỏ ngọc ác vàng dần dần sáng.\nChuyện cũ đã qua chuyện mới toại,\nThử xem một nhảy vào Bồng Doanh.","Sau chuỗi ngày u ám (mưa mãi), bầu trời đã quang đãng. Những xui xẻo cũ đã qua, cơ hội mới đang tới. Có khả năng thăng tiến vượt bậc (nhảy vào Bồng lai tiên cảnh), thay đổi hoàn toàn cục diện.","Hãy rũ bỏ hoàn toàn những ám ảnh, thất bại của quá khứ. Đừng để tâm trạng u uất cản trở cơ hội mới. Chuẩn bị tâm thế sẵn sàng, tinh thần lạc quan để đón nhận vận hội lớn đang tới gần."
21,"Quẻ Số 21 - Thượng Cát (Lý Đán long phụng phối)","Âm dương đạo hợp tổng do thiên,\nNữ giá nam hôn hỷ khánh thiêm.\nPhu xướng phụ tùy thùy lộc vị,\nCử sinh phú quý phúc miên miên.","Âm dương hòa hợp thảy do trời,\nTrai gái kết hôn hỷ khánh bồi.\nChồng xướng vợ tùy hưởng lộc vị,\nSuốt đời phú quý phúc lâu dài.","Quẻ này cực tốt cho chuyện hôn nhân, gia đạo. Âm dương hòa hợp, vợ chồng đồng lòng tát biển đông cũng cạn. Công danh sự nghiệp nhờ sự hòa thuận mà thăng tiến vùn vụt.","Thuận theo tự nhiên và trân trọng mối lương duyên hiện có. Sự hòa hợp (trong gia đình, đồng nghiệp) là chìa khóa của thành công. Hãy tu hạnh 'Hòa ái ngữ', nói lời yêu thương để gắn kết."
22,"Quẻ Số 22 - Thượng Cát (Vương Hi Chi bút pháp)","Hạn thiên cam vũ giá hòa sinh,\nHựu ngộ canh nông hỷ khí doanh.\nNguyện nhữ cửu tu bồi đức bản,\nNguy nguy lộc vị hiển công danh.","Trời hạn mưa rào lúa mạ xanh,\nLại gặp nhà nông hỷ khí doanh.\nKhuyên bạn bấy lâu bồi gốc đức,\nNguy nga lộc vị rạng công danh.","Như nắng hạn gặp mưa rào, mọi khó khăn bế tắc sẽ tan biến, sự sống bừng dậy. Công danh hiển hách, lộc vị cao sang. Nhưng tất cả đều nhờ vào nền tảng đức độ đã tu bồi từ trước.","Thành công hôm nay là quả ngọt của hạt giống thiện lành gieo trong quá khứ. Đừng ngủ quên trên chiến thắng. Tiếp tục bồi đắp 'Gốc Đức' (làm từ thiện, giúp người) để phước lộc được bền vững mãi mãi."
23,"Quẻ Số 23 - Hạ Hạ (Hoài Đức kỳ lân)","Dục bạn tiên nga hái quế chi,\nPhiên thân phục điệt thượng giao trì.\nVu kim khước hối đa kỳ sự,\nChỉ khủng tướng phùng tại mộng ly.","Muốn bạn Hằng Nga bẻ quế chi,\nXoay mình vấp ngã chốn Dao Trì.\nĐến nay hối hận nhiều việc lạ,\nChỉ sợ gặp nhau tại mộng ly.","Ước mơ quá cao xa (bẻ cành quế cung trăng) nên dễ bị té ngã đau đớn. Mưu sự không thành, lại còn gặp rắc rối, hối hận thì đã muộn. Tiền tài danh vọng như ảo mộng.","Hãy sống thực tế, biết lượng sức mình (Tri túc). Đừng chạy theo những ảo vọng phù du mà bỏ bê những giá trị thực tại. Quay về chăm sóc bản thân và gia đình, tìm sự bình an trong tâm hồn thay vì tham vọng bên ngoài."
24,"Quẻ Số 24 - Hạ Hạ (Văn Vương bị giam)","Bất thành lý luận bất thành gia,\nThủy thượng phù âu hựu kiến hoa.\nNhất nhật đáo đầu vô lợi tức,\nHà tu lao lực tẩu thiên nhai.","Chẳng thành lý luận chẳng thành nhà,\nBọt nước bèo trôi lại thấy hoa.\nMột ngày đến cùng không lợi tức,\nViệc gì lao lực chạy đường xa.","Mọi việc như bèo dạt mây trôi, không có định hướng rõ ràng. Càng cố gắng chạy vạy ngược xuôi càng tốn công vô ích, cuối cùng tay trắng vẫn hoàn trắng tay.","Đừng lãng phí năng lượng vào những việc vô bổ hoặc chưa có kế hoạch rõ ràng. Lúc này nên 'Dừng lại' và 'Quan sát'. Tĩnh tâm để nhìn rõ bản chất vấn đề, tránh hành động mù quáng theo cảm xúc."
25,"Quẻ Số 25 - Trung Bình (Diêu Năng ngộ Tiên)","Quá liễu ưu sầu sự kỷ trùng,\nTùng kim tiệm tiệm hỷ tương phùng.\nCánh nghi hướng thử cầu công sự,\nKhử khước huyền khiểm đắc sắc dung.","Qua rồi lo lắng việc mấy trùng,\nTừ nay dần dần hỷ tương phùng.\nLại nên hướng đó cầu công việc,\nBỏ đi hiềm nghi được sắc dung.","Những lo âu phiền muộn cũ đã qua đi. Vận khí đang dần tốt lên, cơ hội gặp gỡ vui vẻ đang tới. Nên tin tưởng vào tương lai, bỏ đi sự nghi ngờ, do dự thì sẽ thành công.","Sự nghi ngờ là rào cản lớn nhất của trí tuệ. Hãy rèn luyện niềm tin (Tín lực) vào bản thân và cuộc sống. Khi tâm không còn vướng mắc nghi kỵ, gương mặt sẽ tươi sáng, thu hút vận may."
26,"Quẻ Số 26 - Trung Bình (Chung Quỳ đắc đạo)","Thượng hạ truyền lai sự chuyển hư,\nThiên biên tiếp đắc nhất phong thư.\nThư trung hứa nặc lăng vân chí,\nTảo vãn thanh thiên chiếu thái hư.","Trên dưới truyền tin chuyện hóa hư,\nBên trời nhận được một phong thư.\nTrong thư hứa hẹn chí mây gió,\nSớm tối trời xanh chiếu thái hư.","Có nhiều tin đồn thất thiệt, chuyện có nói không. Tuy nhiên sẽ nhận được tin tức tốt lành từ xa hoặc từ người có quyền chức, hứa hẹn tương lai sáng lạn, thỏa chí lớn.","Giữ cái đầu lạnh trước tin đồn thị phi. Đừng vội vàng phản ứng. Hãy kiên định với chí hướng của mình (Chí nguyện). Sự chân thành và nỗ lực của bạn sẽ được trời cao chứng giám."
27,"Quẻ Số 27 - Trung Bình (Lưu Cơ can chủ)","Nhất mưu nhất dụng nhất phiên cơ,\nLự hậu nghi tiền sự bất như.\nNhược đắc quý nhân tương viện trợ,\nMạc giáo khô mộc hãm cừ ngừ.","Một mưu một dụng một phen cơ,\nLo sau ngờ trước việc không như.\nNếu được quý nhân ra viện trợ,\nChớ khiến cây khô hãm cừ ngừ.","Tính toán quá nhiều, lo trước sợ sau nên việc không thành. Cần có người sáng suốt (quý nhân) thúc đẩy, giúp đỡ thì mới thoát khỏi tình trạng bế tắc như cây khô mắc kẹt.","Sự do dự thường giết chết cơ hội. Hãy rèn luyện sự quyết đoán. Tuy nhiên, cũng cần khiêm tốn lắng nghe lời khuyên của bậc trưởng thượng. Biết mượn sức người khác để hoàn thành việc của mình là trí tuệ."
28,"Quẻ Số 28 - Thượng Thượng (Lý Hậu tầm bao)","Đông phương nguyệt thượng chính thiềm cung,\nKhoảnh khắc vân khai vạn lý đồng.\nHoa lý du dương ưng trệ phách,\nThanh quang nhất điểm định mê tông.","Phương đông trăng lên ngay cung thiềm,\nPhút chốc mây tan vạn dặm thông.\nHương hoa bát ngát bay phách lạc,\nMột điểm sáng trong định cõi mê.","Trăng lên đỉnh núi, mây mù tan biến, bầu trời quang đãng vạn dặm. Mọi oan khuất được giải tỏa, sự thật phơi bày. Tâm trí sáng suốt, tìm được hướng đi đúng đắn sau thời gian mê lầm.","Đây là lúc trí tuệ bừng sáng (Khai ngộ). Hãy tận dụng sự minh mẫn này để giải quyết các vấn đề tồn đọng. Sống ngay thẳng, trung thực thì dẫu có bị hiểu lầm cũng sẽ sớm được minh oan."
29,"Quẻ Số 29 - Thượng Thượng (Triệu Tử Long cứu chúa)","Bảo kiếm quang mang xuất hạp thời,\nHạp trung ưng bất bị trần ky.\nQuý nhân thân thủ tương đề bạt,\nThả tận anh hùng hiển thánh uy.","Bảo kiếm hào quang lúc xuất bao,\nTrong hộp đâu bị bụi phủ vào.\nQuý nhân ra tay cùng đề bạt,\nThỏa chí anh hùng tỏ thánh uy.","Tài năng đã đến lúc tỏa sáng như kiếm báu tuốt khỏi vỏ. Không gì có thể che lấp được nữa. Sẽ có người quyền thế nâng đỡ, lập nên công trạng hiển hách, danh tiếng vang xa.","Tài năng cần đi đôi với đức độ. Khi được trao quyền hành, hãy dùng nó để bảo vệ lẽ phải và giúp đỡ người yếu thế (như Triệu Tử Long cứu ấu chúa). Hành động dũng cảm vì nghĩa lớn là con đường của Bồ Tát đạo."
30,"Quẻ Số 30 - Trung Bình (Sở Vương kỵ lân)","Khuyến quân thiết mạc hướng tha cầu,\nTự hạc tu doanh uổng dụng tâm.\nĐãn khán thiên thượng nhân gian nguyệt,\nẢnh chỉ tùy nhân đáo xứ doanh.","Khuyên bạn chớ nên hướng người cầu,\nTựa hạc xây đầm uổng dụng tâm.\nHãy xem trăng sáng trên trời thẳm,\nBóng chỉ theo người khắp thế gian.","Đừng trông chờ vào sự giúp đỡ của người khác, cũng đừng mơ mộng chuyện viển vông. Hãy như ánh trăng luôn tự tỏa sáng và bóng luôn đi theo người. Tự lực cánh sinh mới bền vững.","Nâng cao tinh thần tự chủ (Độc lập). Hạnh phúc và thành công phải do chính mình tạo dựng, không thể vay mượn. Quay về nương tựa chính mình (Hải đảo tự thân), thắp đuốc lên mà đi."
31,"Quẻ Số 31 - Trung Bình (Đạt Ma diện bích)","Thanh nhàn vô sự tĩnh thiền quan,\nNan đắc nhất nhật hạ cửu thiên.\nDục cầu thanh nhàn vi ngã lạc,\nMạc giáo nhất bộ tẩu tiền duyên.","Thanh nhàn vô sự tĩnh cửa thiền,\nKhó được một ngày xuống cửu thiên.\nMuốn cầu thanh nhàn là vui thú,\nChớ bảo một bước chạy theo duyên.","Cảnh giới thanh nhàn, tĩnh lặng là quý nhất. Quẻ này khuyên nên an phận thủ thường, giữ tâm tĩnh tại như Đạt Ma Sư Tổ ngồi thiền quay mặt vào vách. Đừng vọng động chạy theo danh lợi bên ngoài.","Hạnh phúc chân thật nằm ở sự bình an nội tại (Niết bàn tịch tĩnh). Dành thời gian mỗi ngày để ngồi yên, quán chiếu hơi thở. Đừng để dòng đời xô đẩy mà đánh mất chính mình. Tĩnh lặng là sức mạnh."
32,"Quẻ Số 32 - Trung Bình (Lưu Bị cầu hiền)","Tiền trình diểu diểu định nghi nan,\nThạch thượng tàng ngọc tại thị gian.\nPhán quyết bảo tàng tu đắc thức,\nĐợi khan lão phố thị đa ban.","Đường trước mờ mịt khó liệu toan,\nTrong đá ngọc ẩn ở thế gian.\nPhán quyết kho báu cần phải biết,\nĐợi xem vườn cũ việc đa đoan.","Như ngọc còn ẩn trong đá, nhân tài chưa gặp thời. Việc cầu mong chưa thành ngay được, cần phải kiên trì tam cố thảo lư (như Lưu Bị cầu Khổng Minh) thì mới tìm được người tài hoặc cơ hội tốt.","Sự chân thành và kiên trì là chìa khóa mở cửa thành công. Đừng bỏ cuộc khi thấy khó khăn ban đầu. Hãy hạ mình cầu học hỏi từ những bậc hiền triết. Trọng dụng người tài đức để cùng làm việc lớn."
