STT,Tên Quẻ,Thơ (Hán Việt/Nôm),Dịch Nghĩa,Lời Bàn (Commentary),Lời Khuyên (Advice)
11,"Quẻ Số 11 - Trung Bình (Tùy Hà thuyết Kình Bố)","Kim niên vận thế thượng lôi thôi,\nThiên thượng ô vân tản bất khai.\nTrực đãi sơ thu lương nguyệt đáo,\nThanh phong tống xuất vạn trùng đài.","Năm nay vận thế vẫn lôi thôi,\nTrên trời mây đen tán chẳng rời.\nHãy đợi đầu thu trăng sáng đến,\nGió thanh đưa tiễn vạn trùng đài.","Vận thế năm nay còn nhiều rắc rối, như mây đen che kín trời chưa tan. Việc mưu cầu chưa thông suốt. Phải kiên nhẫn đợi đến đầu mùa thu (tháng 7, 8 âm lịch) thì gió mát trăng thanh mới tới, mọi sự mới hanh thông.","Chớ nóng vội cưỡng cầu khi thời cơ chưa đến. Giai đoạn này nên 'Ẩn nhẫn', giữ gìn sức khỏe và tài sản. Đừng đầu tư lớn hay tranh chấp kiện tụng kẻo thiệt thân. Mùa thu sẽ có chuyển biến tốt."
12,"Quẻ Số 12 - Thượng Cát (Tô Vũ chăn dê)","Doanh mưu toại ý sự an bài,\nVạn lý cô phàm đắc đắc lai.\nVật kiến dị hương nhân tự lão,\nGiang sơn hữu chủ phúc trùng lai.","Mưu cầu toại ý sự an bài,\nMuôn dặm thuyền côi đắc ý lai.\nChớ thấy quê người thân tự lão,\nNon sông có chủ phúc trùng lai.","Mọi mưu tính sẽ được như ý vì đã có sự an bài. Như Tô Vũ đi sứ bị đày chăn dê 19 năm, chịu đủ gian khổ nhưng lòng trung trinh không đổi, cuối cùng cũng được vinh quy. Đi xa có lợi, phúc lộc quay trở lại.","Đức tính 'Kiên trung' và 'Bền bỉ' là chìa khóa vàng. Dù hoàn cảnh hiện tại có cô đơn hay khắc nghiệt, hãy giữ vững lập trường và đạo đức. Sau cơn bĩ cực đến hồi thái lai, danh tiếng sẽ lẫy lừng."
13,"Quẻ Số 13 - Trung Bình (Lã Mông Chánh dự yến)","Quân tử vị thời thả thủ thường,\nAnh hùng vô dụng thán bi thương.\nNhất triêu ngộ đắc cao lương hội,\nLập bả công danh quải đan tường.","Quân tử chưa thời hãy thủ thường,\nAnh hùng vô dụng thán bi thương.\nMột mai gặp được cao lương hội,\nLập lấy công danh treo bảng vàng.","Người tài (quân tử/anh hùng) nhưng sinh chưa gặp thời, đành phải chịu cảnh nghèo túng, than vãn (như Lã Mông Chánh khi chưa đỗ đạt). Nhưng đừng lo, cơ hội lớn (cao lương hội) sắp đến, lúc đó sẽ công thành danh toại.","Đừng vì nghèo khó nhất thời mà đánh mất chí khí. Hãy dùng thời gian chờ đợi này để dùi mài kinh sử, rèn luyện kỹ năng. Khi cơ hội đến phải nắm bắt ngay để tỏa sáng. Nghèo cho sạch, rách cho thơm."
14,"Quẻ Số 14 - Hạ Hạ (Quách Hoa mua son)","Nhất phàm thuận cảnh dĩ quá đầu,\nHà tất đinh ninh khổ hạ cầu.\nĐãi đắc Giang tâm minh nguyệt hiện,\nTrực giáo hảo sự nhất thời hưu.","Một buồm thuận cảnh đã qua đầu,\nCần chi đinh ninh khổ hạ cầu.\nĐợi được giữa sông trăng sáng hiện,\nKhiến cho việc tốt một giờ hưu.","Thời vận tốt đẹp đã trôi qua rồi (thuận cảnh dĩ quá đầu). Đừng cố chấp cầu xin vô ích. Càng lao theo càng gặp rắc rối, như Quách Hoa vì mê đắm nhan sắc mà chết oan. Cảnh báo về tai họa tình ái hoặc dục vọng.","Cảnh giác với 'Sắc dục' và những cám dỗ phù du. Đừng luyến tiếc quá khứ vàng son mà không nhìn thẳng vào thực tại suy thoái. Nên dừng lại, tu tâm dưỡng tính, tránh xa chốn ăn chơi trác táng mới mong thoát nạn."
15,"Quẻ Số 15 - Trung Bình (Trương Lương nạp giày)","Nhất nhật ngẫu nhiên đắc toại tâm,\nQuý nhân lai thử phỏng tri âm.\nKhước hiềm thế thượng vô tri giả,\nThử đãi xuân lôi chấn địa thanh.","Một ngày ngẫu nhiên được toại tâm,\nQuý nhân đến đó hỏi tri âm.\nLại hiềm trên đời không ai biết,\nHãy đợi sấm xuân dậy đất gầm.","Bỗng nhiên có chuyện may mắn toại ý. Sẽ gặp được quý nhân hoặc minh sư (như Trương Lương nhặt giày cho Hoàng Thạch Công). Tài năng chưa ai biết nhưng hãy đợi tiếng sấm mùa xuân vang lên, danh tiếng sẽ lừng lẫy.","Học hạnh 'Khiêm hạ' và 'Tôn sư trọng đạo'. Đừng ngại làm việc nhỏ hay chịu thiệt thòi để thử thách bản thân. Sự kính trọng bậc trưởng thượng sẽ mang lại cho bạn những bài học và cơ hội vô giá."
16,"Quẻ Số 16 - Thượng Cát (Vương Bột trúng phong)","Nhất tá đông phong thế tiện cường,\nLưu truyền thiên cổ tính danh hương.\nThời lai phong tống Đằng Vương Các,\nVận chí hà tu khổ mang mang.","Một mượn gió đông thế mạnh cường,\nLưu truyền nghìn thuở tính danh hương.\nThời đến gió đưa Đằng Vương Các,\nVận tới cần chi khổ vội vàng.","Mượn được sức gió đông, thế lực trở nên cường mạnh. Như Vương Bột được gió thần đưa đến Đằng Vương Các kịp giờ làm thơ, danh tiếng lưu truyền thiên cổ. Vận may tự đến, không cần phải vất vả ngược xuôi.","Đây là quẻ 'Thiên thời địa lợi nhân hòa'. Khi vận may đến, mọi việc trôi chảy đến kinh ngạc. Hãy tận dụng đà này để hoàn thành những mục tiêu lớn nhất. Nhưng nhớ rằng, tài năng (như Vương Bột) là điều kiện cần để gió đông thổi."
17,"Quẻ Số 17 - Hạ Hạ (Thạch Sùng bị hại)","Điền viên sự vật hỷ tranh tiên,\nCường đoạt cường cầu tạo tội khiên.\nNhất đán sinh lai toàn biến diệt,\nSử quân tiêu tức nhập hoàng tuyền.","Ruộng vườn sự vật thích tranh tiên,\nCướp đoạt ép cầu tạo tội khiên.\nMột sớm xảy ra đều biến diệt,\nKhiến cho tin tức xuống hoàng tuyền.","Vì tham lam tranh giành ruộng đất, tài sản mà gây tội (như Thạch Sùng giàu nứt đố đổ vách nhưng kết cục bi thảm). Của cải kiếm được do cưỡng cầu sẽ tan biến trong chốc lát, thậm chí mất mạng.","Lời cảnh tỉnh nghiêm khắc về lòng 'Tham'. Tiền tài phi nghĩa không bao giờ bền. Đừng vì lợi ích vật chất mà chà đạp lên đạo đức và người khác. Hãy bố thí, làm phước để giải nghiệp tham, tránh họa sát thân."
18,"Quẻ Số 18 - Trung Bình (Mạnh Thường Quân qua ải)","Tri quân chỉ thủ cựu sinh nhai,\nTha sự hà tu cánh quải hoài.\nDuy hữu kê minh cẩu đạo nghệ,\nLâm thời nhất dụng miễn kỳ tai.","Biết bạn chỉ giữ nghiệp sinh nhai,\nViệc khác cần chi lại nhớ hoài.\nChỉ có tiếng gà cùng trộm chó,\nLâm thời một dùng miễn tai ương.","Chỉ nên an phận giữ nghề cũ, đừng lo nghĩ chuyện viển vông. Trong lúc hoạn nạn, những kỹ năng nhỏ nhặt (như giả tiếng gà, chui lỗ chó của khách Mạnh Thường Quân) lại cứu được mạng. Đừng khinh thường nghề mọn.","Mỗi kỹ năng đều có giá trị riêng, 'Nhất nghệ tinh, nhất thân vinh'. Đừng khinh thường những người có địa vị thấp kém, có lúc họ sẽ là ân nhân cứu mạng bạn. Ứng biến linh hoạt là cách thoát hiểm tốt nhất."
19,"Quẻ Số 19 - Thượng Cát (Lưu Trí Viễn đầu quân)","Bất viễn mang mang tẩu lộ trần,\nĐầu thân đầu chủ dục vinh thân.\nKim triêu tuyển đắc cao lăng mộc,\nChung cửu hoàn tu xuất chúng nhân.","Chẳng quản mang mang chạy bụi trần,\nNương nhờ chúa tốt muốn vinh thân.\nSáng nay chọn được cây tùng bách,\nSau cuối cũng nên bậc xuất trần.","Không quản ngại đường xa bụi bặm, tìm minh chủ để nương nhờ (như Lưu Trí Viễn đầu quân). Chọn đúng chỗ đứng (cây cao bóng cả) thì sau này ắt sẽ trở thành người xuất chúng, vinh hoa phú quý.","Sự lựa chọn quan trọng hơn nỗ lực. Hãy sáng suốt chọn môi trường, chọn sếp, chọn thầy mà theo. Khi đã tìm được 'cây cao' để nương tựa, hãy cống hiến hết mình, thành công sẽ đến."
20,"Quẻ Số 20 - Trung Bình (Nghiêm Tử Lăng câu cá)","Nhất phiến băng tâm khiết vạn trần,\nTiêu dao tự tại tại giang tân.\nCựu thời hữu bạn lai tương sạ,\nĐạn quán bất như quải giác khinh.","Một tấm lòng băng sạch bụi trần,\nTiêu dao tự tại bến sông gần.\nBạn cũ ngày xưa nay chợt đến,\nMũ áo chẳng bằng sừng treo khăn.","Tâm hồn trong sáng như băng tuyết, không vướng bụi trần. Thích sống tiêu dao tự tại (như Nghiêm Tử Lăng từ chối làm quan, đi câu cá). Dù bạn cũ (đã làm vua/quan) đến mời mọc cũng không màng danh lợi.","Hạnh phúc nằm ở sự 'Tự tại'. Nếu bạn không ham danh lợi, không ai có thể ràng buộc bạn. Quẻ này khuyên nếu thấy chán cảnh bon chen, hãy lui về ở ẩn, tìm sự bình yên. Danh vọng đôi khi chỉ là gánh nặng."
21,"Quẻ Số 21 - Hạ Hạ (Tôn Tẫn bị hại)","Dữ quân đồng xạ khứ trù mưu,\nSự tình vị liễu hốt phân ly.\nCánh hữu nhất ban phòng tổn hại,\nChiết liễu chi đầu tước họa đề.","Cùng bạn bàn mưu tính việc chung,\nViệc tình chưa dứt bỗng chia vùng.\nLại thêm một mối phòng tổn hại,\nĐầu cành bẻ liễu sẻ kêu rung.","Cảnh báo sự phản bội từ người thân tín (như Tôn Tẫn bị bạn học Bàng Quyên hãm hại). Hợp tác làm ăn dễ đổ vỡ giữa đường. Đã không thành công lại còn bị tổn hại, mang thương tích hoặc mất mát.","Tuyệt đối cẩn thận khi chọn bạn, chọn đối tác. Đừng quá tin người mà trao hết bí mật. Phòng người ngay chứ không phòng được kẻ gian. Gặp hoạn nạn cần nhẫn nhục chịu đựng để bảo toàn tính mạng."
22,"Quẻ Số 22 - Thượng Cát (Hàn Tín lập công)","Tiễn thủy hành thuyền giá tiễn phong,\nNhất sinh trường sự khoái tâm hung.\nQuý nhân tiếp dẫn chi đầu thượng,\nSự sự mưu lai tận đắc thông.","Nước bắn thuyền đi cưỡi gió lồng,\nMột đời việc trưởng khoái tâm lòng.\nQuý nhân tiếp dẫn lên cành thượng,\nViệc việc cầu mưu thảy được thông.","Vận may đến nhanh như tên bắn, thuyền chạy thuận gió. Hàn Tín lập công lớn, được phong vương. Cả đời sảng khoái, mưu cầu việc gì cũng thông suốt nhờ có quý nhân nâng đỡ lên vị trí cao.","Thời cơ ngàn năm có một để bứt phá. Hãy dốc toàn lực hành động. Sự quyết đoán và tốc độ là yếu tố quyết định. Đừng chần chừ mà bỏ lỡ vận hội thăng tiến."
23,"Quẻ Số 23 - Hạ Hạ (Khổng Tử tuyệt lương)","Hoa khai hoa tạ tại xuân phong,\nQuý tiện cùng thông bách tuế trung.\nTiện kiến cô chu hoành dã độ,\nKhả ta vô sự ngộ đầu phong.","Hoa nở hoa tàn tại gió xuân,\nSang hèn cùng thông trăm tuổi chừng.\nChợt thấy thuyền côi ngang bến dã,\nKhá thương vô sự gặp đầu phong.","Thánh nhân còn gặp nạn (Khổng Tử bị vây, hết lương thực), huống chi người thường. Số phận bấp bênh, lúc nở lúc tàn. Như thuyền cô độc gặp gió ngược, tiến thoái lưỡng nan, nghèo túng bủa vây.","Khi rơi vào hoàn cảnh cùng cực, hãy giữ vững khí tiết (như Khổng Tử vẫn gảy đàn). Đừng vì nghèo khó mà làm điều phi pháp. Chấp nhận quy luật vô thường 'sông có khúc, người có lúc' để tâm bớt dao động."
24,"Quẻ Số 24 - Thượng Cát (Trương Khiên ngộ Tiên)","Nhất triêu đắc bảng đề danh tính,\nThân cư cao các khoái nhân tâm.\nNhĩ mục quán thời giai tráng khí,\nDiệc như bình địa bộ thanh vân.","Một sớm bảng vàng đề danh tính,\nThân ở gác cao khoái nhân tâm.\nTai mắt thảy đều thông tráng khí,\nCũng như đất phẳng bước lên mây.","Công thành danh toại, thi đỗ bảng vàng, tên đề tháp nhạn (như Trương Khiên đi sứ gặp tiên, lập công lớn). Thân ở lầu cao, tầm nhìn rộng mở, khí thế hào hùng. Thăng quan tiến chức dễ dàng như đi trên đất bằng.","Vận mệnh đang ở thời kỳ rực rỡ nhất. Hãy mở rộng tầm nhìn và chí hướng. Đừng ngủ quên trên chiến thắng, dùng vị thế của mình để làm lợi cho đất nước và cộng đồng thì danh tiếng mới bền."
25,"Quẻ Số 25 - Trung Bình (Minh Hoàng du Nguyệt cung)","Mộng trung thuyết mộng vị vi chân,\nTranh tự ân cần lao khổ tâm.\nThí vấn doanh cầu thùy tị ngạn,\nChỉ khủng trường giang lãng đả thân.","Trong mộng nói mộng chưa là chân,\nSao bằng ân cần lao khổ tâm.\nThử hỏi doanh cầu ai bỉ ngạn,\nChỉ sợ sông dài sóng đánh thân.","Như Đường Minh Hoàng nằm mộng du cung trăng, tỉnh dậy mọi thứ đều tan biến. Mọi sự cầu mong hiện tại chỉ là ảo ảnh, không thực tế. Càng theo đuổi mộng tưởng càng khổ tâm, coi chừng bị sóng gió cuộc đời vùi dập.","Hãy sống thực tế, bớt mơ mộng viển vông. Phân biệt rõ đâu là thực, đâu là ảo. Thay vì chạy theo những dự án 'bánh vẽ', hãy tập trung làm tốt công việc hiện tại. 'Chân đạp đất' mới vững vàng."
26,"Quẻ Số 26 - Trung Bình (Thiệu Nghiêu Phu bói quẻ)","Niên lai phong vũ vị tằng điều,\nHựu bị dương lăng nhất quyển thiêu.\nThượng hữu thanh sơn hòa lục thủy,\nĐãi thời nhược chí nhậm tiêu dao.","Năm lại gió mưa chưa từng điều,\nLại bị Lăng Dương một cuốn thiêu.\nTrên có núi xanh cùng nước biếc,\nĐợi thời nếu đến mặc tiêu dao.","Thời tiết chưa thuận, gió mưa thất thường. Công việc gặp trắc trở, tài liệu văn thư có thể bị thất lạc hoặc hủy hoại. Tuy nhiên, non xanh nước biếc vẫn còn đó. Hãy kiên nhẫn chờ thời vận thay đổi thì mới được tiêu dao khoái lạc.","Mọi sự tùy duyên, không thể cưỡng cầu. Khi thiên nhiên (hoàn cảnh khách quan) chưa ủng hộ, tốt nhất là nghỉ ngơi, du ngoạn hoặc tu dưỡng. Giữ tâm hồn thư thái chờ đợi cơ hội mới."
27,"Quẻ Số 27 - Hạ Hạ (Hạng Vũ khốn Ô Giang)","Thế gian vạn vật thảy do thiên,\nDiện bích đồ lao uổng đãi nhiên.\nHằng Nga bất ngữ thùy năng hội,\nThả bả ngân đăng chiếu nhị tuyền.","Thế gian vạn vật thảy do thiên,\nXoay vách uổng công đợi tự nhiên.\nHằng Nga chẳng nói ai hay biết,\nHãy đem đèn bạc chiếu nhị tuyền.","Số mệnh đã định, Hạng Vũ dù mạnh cũng phải bại ở Ô Giang. Cố gắng xoay sở (diện bích) cũng vô ích. Không ai thấu hiểu nỗi lòng, cô đơn tuyệt vọng. Tương lai mờ mịt như mò trăng đáy nước.","Chấp nhận thất bại là một phần của cuộc sống. Khi đã đến đường cùng, đừng cố chấp sĩ diện hão huyền. Hãy buông bỏ hào quang quá khứ để tìm con đường sống mới, dù là bình thường nhất."
28,"Quẻ Số 28 - Thượng Cát (Ngô Xuân Tầm tòng quân)","Công hầu tướng tướng bản vô chủng,\nHảo bả cần lao khế thượng thiên.\nNhân sự tận tòng thiên lý kiến,\nTài cao khởi đắc khốn lâm tuyền.","Công hầu khanh tướng vốn không giống,\nHãy đem cần lao hợp thượng thiên.\nViệc người gắng theo thiên lý thấy,\nTài cao há để khốn lâm tuyền.","Không ai sinh ra đã là tướng (vương hầu khanh tướng vô chủng). Nhờ cần cù, nỗ lực mà cảm động trời xanh, được phong chức tước. Người có tài đức vẹn toàn thì không bao giờ bị chôn vùi nơi rừng núi, ắt sẽ được trọng dụng.","Khẳng định giá trị của sự nỗ lực tự thân (Self-made). Xuất thân không quyết định tương lai, mà là sự cần cù. Hãy tin vào tài năng của mình, cứ phấn đấu hết mình, trời cao sẽ không phụ lòng người."
29,"Quẻ Số 29 - Thượng Cát (Triệu Tử Long cứu chúa)","Tổ tông tích đức kỷ đa niên,\nNguyên mộc thanh lưu diệp tự miên.\nNhược đắc điêu long hòa tú phượng,\nKhai cơ lập nghiệp tại tiên hiền.","Tổ tông tích đức mấy nhiêu niên,\nCây nguồn dòng biếc lá tự miên.\nVí được điêu long cùng tú phượng,\nKhai cơ lập nghiệp tại tiên hiền.","Nhờ phúc đức tổ tiên tích lũy nhiều đời (như cây có gốc, nước có nguồn) nên con cháu được hưởng lộc. Sẽ sinh quý tử (long phượng), sự nghiệp lẫy lừng, nối nghiệp cha ông làm rạng danh dòng họ.","Nhắc nhở về đạo lý 'Uống nước nhớ nguồn'. Thành công hôm nay có phần lớn nhờ âm đức tổ tiên. Hãy thường xuyên thờ cúng, tu sửa mồ mả và dạy dỗ con cháu giữ gìn gia phong."
30,"Quẻ Số 30 - Trung Bình (Liễu Nghị truyền thư)","Phụng hỏa liên thiên chiếu bích vân,\nChung thân bất tất oán tha nhân.\nDuyên mộc cầu ngư chân bất đắc,\nThủ chu đãi thố uổng lao tâm.","Lửa hiệu liền trời chiếu mây xanh,\nTrọn đời chẳng cần oán người ta.\nLeo cây tìm cá thật chẳng được,\nÔm cây đợi thỏ uổng lao tâm.","Lửa chiến tranh, tai họa lan tràn. Đừng oán trách người khác. Những việc đang làm là sai lầm phương pháp (như leo cây tìm cá, ôm cây đợi thỏ), chỉ tốn công vô ích mà không có kết quả.","Cần thay đổi tư duy và phương pháp làm việc. Đừng bảo thủ, cố chấp theo lối mòn cũ kỹ (thủ cựu). Hãy linh hoạt và thực tế hơn. Nếu thấy sai đường, phải dũng cảm dừng lại và tìm hướng đi khác."
31,"Quẻ Số 31 - Trung Bình (Đặng Vũ kén tướng)","Thu đông hỷ khí dẫn nhân mê,\nBách sự doanh cầu mạc uổng vi.\nNhược ngộ quý nhân tương tiếp dẫn,\nThiên niên khô mộc hựu phương phi.","Thu đông khí tốt dẫn người mê,\nTrăm sự mưu cầu chớ uổng làm.\nNếu gặp quý nhân ra tiếp dẫn,\nNgàn năm cây cỗi lại đâm chồi.","Vận khí mùa thu đông có vẻ tốt nhưng dễ khiến người ta mê muội, lầm đường. Đừng vội vã mưu cầu trăm việc mà uổng công. Phải đợi có quý nhân xuất hiện chỉ lối thì cây khô ngàn năm mới nở hoa được.","Đừng bị vẻ hào nhoáng ban đầu làm mờ mắt. Thời điểm này cần sự bình tĩnh và quan sát. Tự lực chưa đủ, phải tìm người đỡ đầu hoặc người hướng dẫn có kinh nghiệm thì việc mới thành."
